product_id,name_en,name_ar,brand,category,category_name_ar,category_link,series,price_sar,old_price_sar,availability,screen_size_in,display_type,ram_gb,storage_gb,short_desc,keywords,product_url,connectivity,item_type,resolution_px,ppi,cpu,os,bluetooth,wifi,Battery_mah,audio_jack,Micro_sd_slot
9fa223c24c33,BOOX InkSpire Magnetic Charging Stylus,بووكس إنك سباير قلم شحن مغناطيسي,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,,399,,unknown,,,,,بووكس إنك سباير قلم شحن مغناطيسي,"boox,stylus",https://shop.smart.sa/ar/OywEoGR,,stylus,,,,,,,,,
9f4b2f6591b8,Boox Palma 2 Magnetic 2-in-1 Protective Case,بووكس حافظة الحماية المغناطيسية القابلة للطي لسلسلة بالما 2 (أخضر داكن),boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Palma,89,,unknown,,,,,بووكس حافظة الحماية المغناطيسية القابلة للطي لسلسلة بالما 2 (أخضر داكن),"boox,Palma,case",https://shop.smart.sa/ar/YzgvjjZ,,case,,,,,,,,,
465fee649008,BOOX Bluetooth remote,بووكس ريموت بلوتوث,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,,99.02,,unknown,,,,,بووكس ريموت بلوتوث,boox,https://shop.smart.sa/ar/DpNDyQw,,accessory,,,,,,,,,
3b52e763e946,Boox Go 7 Series Magnetic Case,بووكس حافظة الحماية المغناطيسية لسلسلة جو 7 (رمادي),boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Go,159,,unknown,,,,,بووكس حافظة الحماية المغناطيسية لسلسلة جو 7 (رمادي),"boox,Go,case",https://shop.smart.sa/ar/XzbWogv,,case,,,,,,,,,
625d01414d7b,Boox Go 7 Series Magnetic Case,بووكس حافظة الحماية المغناطيسية لسلسلة جو 7 (بيج),boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Go,159,,unknown,,,,,بووكس حافظة الحماية المغناطيسية لسلسلة جو 7 (بيج),"boox,Go,case",https://shop.smart.sa/ar/OyAYbjY,,case,,,,,,,,,
cd8234e9b128,BOOX Go Color 7 (Gen II),جو 7 ملون الجيل الثاني 4GB 64GB قارئ إلكتروني بشاشة حبر إلكتروني ملون,boox,tablets_readers,الأجهزة اللوحية وأجهزة القراءة,https://shop.smart.sa/ar/category/EdyrGY,Go,1099,,unknown,7,eink_color,4,64,جو 7 ملون الجيل الثاني 4GB 64GB قارئ إلكتروني بشاشة حبر إلكتروني ملون,"boox,Go,eink_color,ram4,storage64",https://shop.smart.sa/ar/xvqqvpp,واي فاي + بلوتوث 5.1.,e-ink tablet,1680x1264,300,,أندرويد 13.,5.1.,Yes,2300,,Yes
be464fb42320,BOOX Go 7 Monochrome,بووكس جو 7 4GB 64GB قارئ إلكتروني بشاشة حبر اسود فقط إلكتروني (أبيض),boox,tablets_readers,الأجهزة اللوحية وأجهزة القراءة,https://shop.smart.sa/ar/category/EdyrGY,Go,899,,unknown,7,eink_mono,4,64,بووكس جو 7 4GB 64GB قارئ إلكتروني بشاشة حبر اسود فقط إلكتروني (أبيض),"boox,Go,eink_mono,ram4,storage64",https://shop.smart.sa/ar/yKZZKrK,واي فاي + بلوتوث 5.1.,e-ink tablet,1680x1264,300,,أندرويد 13.,5.1.,Yes,2300,,Yes
35f37189d1a3,BOOX Go 7 Monochrome,بووكس جو 7 4GB 64GB قارئ إلكتروني بشاشة حبر اسود فقط (أسود),boox,tablets_readers,الأجهزة اللوحية وأجهزة القراءة,https://shop.smart.sa/ar/category/EdyrGY,Go,899,,unknown,7,eink_mono,4,64,بووكس جو 7 4GB 64GB قارئ إلكتروني بشاشة حبر اسود فقط (أسود),"boox,Go,eink_mono,ram4,storage64",https://shop.smart.sa/ar/jgaagRg,واي فاي + بلوتوث 5.1.,e-ink tablet,1680x1264,300,,أندرويد 13.,5.1.,Yes,2300,,Yes
9446fad84391,BOOX Tab X C,بووكس تاب إكس سي 6GB 128GB جهاز لوحي بشاشة حبر إلكتروني ملون,boox,tablets_readers,الأجهزة اللوحية وأجهزة القراءة,https://shop.smart.sa/ar/category/EdyrGY,Tab,3199,,unknown,13.3,eink_color,6,128,بووكس تاب إكس سي 6GB 128GB جهاز لوحي بشاشة حبر إلكتروني ملون,"boox,Tab,eink_color,ram6,storage128",https://shop.smart.sa/ar/YzPPgjZ,واي فاي + بلوتوث 5.0,e-ink tablet,3200x2400,301,2.8Ghz ثماني النواة + BSR,أندرويد 13,5,Yes,5500,Yes,
15f8e707aa18,Boox Go 6 Magnetic Case White,بووكس حافظة الحماية المغناطيسية لسلسلة جو 6 (أبيض),boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Go,99,,unknown,,,,,بووكس حافظة الحماية المغناطيسية لسلسلة جو 6 (أبيض),"boox,Go,case",https://shop.smart.sa/ar/nElmnqw,,case,,,,,,,,,
